CARGO_AREA_ID,CARGO_VOLUME,
1101,NULL,
1102,NULL,
1103,NULL,
1104,NULL,
1105,NULL,
1106,NULL,
1107,NULL,
1108,NULL,
1109,NULL,
1110,NULL,
1111,NULL,
1112,283.6,
1113,NULL,
1114,NULL,
1115,239.7,
1116,236.5,
1117,122.7,
1118,NULL,
1119,182.9,
1120,NULL,
1121,NULL,
1122,NULL,
1123,NULL,
1124,NULL,
1125,NULL,
1126,15.1,
1127,14,
1128,11.9,
1129,16.7,
1130,8.3,
1131,13.1,
1132,24.5,
1133,19.1,
1134,16.7,
1135,53.9,
1136,52.8,
1137,41.9,
1138,null,
1139,52.8,
1140,null,
1141,61,
1142,56.4,
1143,52.8,
1144,35.5,
1145,83.5,
1146,63.7,
1147,19.8,
1148,30,
1149,57.2,
1150,56.3,
