COST_ID,TOTAL_PRICE,TITLE_APPLICATION_FEE,DEALER_FEE,VEHICLE_REGISTRATION_FEE,LICENSE_PLATE_COST
1401,41949.00,13.00,225.00,1.00,200.00
1402,60330.00,13.00,225.00,1.00,200.00
1403,81835.00,13.00,225.00,1.00,200.00
1404,62635.00,13.00,225.00,1.00,200.00
1405,28630.00,13.00,225.00,1.00,200.00
1406,55275.00,13.00,225.00,1.00,200.00
1407,25714.00,13.00,225.00,1.00,200.00
1408,61714.00,13.00,225.00,1.00,200.00
1409,45595.00,13.00,225.00,1.00,200.00
1410,40299.00,13.00,225.00,1.00,200.00
1411,45682.00,13.00,225.00,1.00,200.00
1412,49643.00,13.00,225.00,1.00,200.00
1413,57501.00,13.00,225.00,1.00,200.00
1414,60375.00,13.00,225.00,1.00,200.00
1415,16220.00,13.00,225.00,1.00,200.00
1416,11869.00,13.00,225.00,1.00,200.00
1417,12715.00,13.00,225.00,1.00,200.00
1418,15090.00,13.00,225.00,1.00,200.00
1419,30797.00,13.00,225.00,1.00,200.00
1420,57926.00,13.00,225.00,1.00,200.00
1421,382930.00,13.00,225.00,1.00,200.00
1422,10823.00,13.00,225.00,1.00,200.00
1423,10981.00,13.00,225.00,1.00,200.00
1424,571299.00,13.00,225.00,1.00,200.00
1425,237244.00,13.00,225.00,1.00,200.00
1426,23227.00,13.00,225.00,1.00,200.00
1427,13995.00,13.00,225.00,1.00,200.00
1428,84990.00,13.00,225.00,1.00,200.00
1429,22245.00,13.00,225.00,1.00,200.00
1430,38366.00,13.00,225.00,1.00,200.00
1431,21995.00,13.00,225.00,1.00,200.00
1432,31995.00,13.00,225.00,1.00,200.00
1433,28281.00,13.00,225.00,1.00,200.00
1434,92990.00,13.00,225.00,1.00,200.00
1435,24795.00,13.00,225.00,1.00,200.00
1436,33900.00,13.00,225.00,1.00,200.00
1437,34995.00,13.00,225.00,1.00,200.00
1438,31995.00,13.00,225.00,1.00,200.00
1439,69995.00,13.00,225.00,1.00,200.00
1440,60569.00,13.00,225.00,1.00,200.00
1441,22999.00,13.00,225.00,1.00,200.00
1442,46595.00,null,null,null,null
1443,24724.00,null,null,null,null
1444,32238.00,13.00,225.00,1.00,200.00
1445,60027.00,13.00,225.00,1.00,200.00
1446,22999.00,13.00,225.00,1.00,200.00
1447,20820.00,null,null,null,null
1448,10524.00,null,null,null,null
1449,25682.00,null,null,null,null
1450,29318.00,null,null,null,null
