EMISSIONS_ID (PK),EMISSIONS_PER_YEAR 
1301,6.3
1302,8.9
1303,8.4
1304,6
1305,6.2
1306,6.8
1307,5.7
1308,7.6
1309,6.5
1310,6.5
1311,NULL
1312,NULL
1313,NULL
1314,NULL
1315,NULL
1316,NULL
1317,7.1
1318,8
1319,8.4
1320,NULL
1321,NULL
1322,8.5
1323,6.9
1324,NULL
1325,10.3
1326,5.8
1327,7.7
1328,11
1329,5.8
1330,6.8
1331,5
1332,7.1
1333,5.4
1334,9
1335,6.9
1336,8.4
1337,11
1338,8.9
1339,8.9
1340,9.2
1341,10.2
1342,null
1343,8
1344,9.3
1345,null
1346,null
1347,null
1348,null
1349,null
1350,null
