FINANCING_ID,SALES_ID,DOWN_PAYMENT,AMOUNT_FINANCED,INTEREST_RATE,LOAN_TERMS_MONTHS,MONTHLY_PAYMENT,LENDER_NAME,LOAN_START_DATE,,,,,,,,,,,
1801,101,null,60555.00,5.6,60,1159.00,Capital One ,2026-01-10,,,,,,,,,,,
1802,102,10000.00,52635.00,5.1,48,1215.00,Chase,2026-05-12,,,,,,,,,,,
1803,103,5000.00,50275.00,6.2,36,1534.00,Capital One ,2026-08-23,,,,,,,,,,,
1804,104,NULL,45495.00,4.8,60,856.00,Capital One ,2026-10-10,,,,,,,,,,,
1805,105,7000.00,33299.00,4.2,36,986.00,Capital One ,2026-05-13,,,,,,,,,,,
1806,106,NULL,49643.00,7.2,60,988.00,Chase,2026-07-12,,,,,,,,,,,
1807,107,1000.00,59375.00,6.8,60,1170.00,Chase,2026-09-09,,,,,,,,,,,
1808,108,500.00,11369.00,6,60,220.00,Capital One ,2026-08-08,,,,,,,,,,,
1809,109,3000.00,12090.00,5.2,36,363.00,Chase,2026-12-24,,,,,,,,,,,
1810,110,NULL,57926.00,6.4,60,1131.00,Chase,2026-11-27,,,,,,,,,,,
1811,111,NULL,8763.00,7.5,60,174.00,Chase,2026-03-17,,,,,,,,,,,
1812,112,100000.00,471299.00,4.1,48,10663.00,Chase,2026-04-10,,,,,,,,,,,
1813,113,75000.00,162244.00,4.7,48,3714.00,Capital One ,2026-05-05,,,,,,,,,,,
1814,114,4000.00,81215.00,5.5,36,1889.00,Capital One ,2026-04-16,,,,,,,,,,,
1815,115,3000.00,35016.00,5,36,1049.00,Capital One ,2026-08-12,,,,,,,,,,,
1816,116,9000.00,23220.00,7.3,36,720.00,Capital One ,2026-01-10,,,,,,,,,,,
1817,117,7000.00,58890.00,6.4,48,1394.00,Chase,2026-03-08,,,,,,,,,,,
1818,118,null,null, null , null ,null, null ,null,,,,,,,,,,,
1819,119,null,null, null , null ,null, null ,null,,,,,,,,,,,
1820,120,null,null, null , null ,null, null ,null,,,,,,,,,,,
1821,121,null,null, null , null ,null, null ,null,,,,,,,,,,,
1822,122,null,null, null , null ,null, null ,null,,,,,,,,,,,
1823,123,null,null, null , null ,null, null ,null,,,,,,,,,,,
1824,124,null,null, null , null ,null, null ,null,,,,,,,,,,,
1825,125,null,null, null , null ,null, null ,null,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
