FUEL_ID (PK),FUEL_TYPE,TANK_CAPACITY,MPG_CITY,
301,Gas,16.6,25,
302,Gas,21.5,16,
303,Gas,22.5,19,
304,Gas,17.2,27,
305,Gas,14,26,
306,Gas,17.4,23,
307,Gas,11.9,29,
308,Gas,23,21,
309,Gas,14.3,24,
310,Gas,14,25,
311,Gas,24,NULL,
312,Gas,31,NULL,
313,Gas,30.9,NULL,
314,Gas,25.1,NULL,
315,Gas,31,NULL,
316,Gas,35,NULL,
317,Gas,14.5,24,
318,Gas,15.8,20,
319,Gas,18.5,19,
320,Gas,25.1,NULL,
321,NULL,NULL,NULL,
322,Gas,20,19,
323,Gas,15.9,22,
324,Gas,21.6,NULL,
325,Gas,17.6,15,
326,Gas,15.8,27,
327,Gas,18.5,20,
328,Gas,17,13,
329,Gas,14.8,29,
330,Gas,14.5,23,
331,Gas,13.2,32,
332,Gas,15.9,22,
333,Gas,12.4,30,
334,Gas,19.5,65,
335,Gas,14.8,22,
336,Gas,26,19,
337,Gas,36,15,
338,Gas,21.4,18,
339,Hybrid,30.6,18,
340,Gas,32.2,17,
341,Gas,26,16,
342,Gas,18.2,,
343,Gas,23,,
344,Gas,22,17,
345,,36,null,
346,Electric ,null,null,
347,Electric ,null,null,
348,Electric ,null,null,
349,Electric ,null,null,
350,Electric ,null,null,
