TIRE_ID,FRONT_ TIRE_SIZE,REAR_ TIRE_SIZE
501,P235/50VR19,P235/50VR19
502,LT285/70SR17,LT285/70SR17
503,P275/50HR20,P275/50HR20
504,P245/50HR19,P245/50HR19
505,P215/60HR17,P215/60HR17
506,P235/60HR18,P235/60HR18
507,P205/55HR17,P205/55HR17
508,P275/45VR21,P275/45VR21
509,P225/55HR18,P225/55HR18
510,P235/45WR19,P235/45WR19
511,LT225/75R16,LT225/75R16
512,LT245/75R16E,LT245/75R16E
513,LT235/65RR16,LT235/65RR16
514,LT235/65SR16,LT235/65SR16
515,LT245/75R16E,LT245/75R16E
516,LT225/75R16E,LT225/75R16E
517,LT185/60TR15,LT185/60TR15
518,P215/55HR16,P215/55HR16
519,P235/60HR16,P235/60HR16
520,LT235/65RR16,LT235/65RR16
521,NULL,NULL
522,P225/50VR18,P225/50VR18
523,P225/45R17,P245/40R17
524,P275/35YR21,P325/30YR21
525,P255/35YR20,P315/30YR21
526,P235/40VR19,P235/40VR19
527,P245/45VR18,P245/45VR18
528,275/35ZR19,275/35ZR19
529,P235/40VR19,P235/40VR19
530,P225/40YR18,P225/40YR18
531,P205/55HR16,P205/55HR16
532,P225/45HR18,P225/45HR18
533,P235/40WR18,P235/40WR18
534,P255/45HR20,P285/40HR20
535,P235/40VR19,P235/40VR19
536,P275/55TR20,P275/55TR20
537,LT315/70SR17,LT315/70SR17
538,255/65R17,255/65R17
539,P275/60SR20,P275/60SR20
540,P265/60HR20,P265/60HR20
541,P265/65R18,P265/65R18
542,P265/65TR18,P265/65TR18
543,P245/70SR17,P245/70SR17
544,LT285/70SR17,LT285/70SR17
545,LT235/80R17,LT235/80R17
546,P215/60HR17,P215/60HR17
547,P235/45WR18,P235/45WR18
548,P215/50VR17,P215/50VR17
549,245/55R19,245/55R19
550,215/50R17,215/50R17
