VEHICLE_ID (PK),MAKE,MODEL,VIN_NUM,YEAR,USED_OR_NEW ,CAR_LINK
001,Subaru,Forrester,4S4SLDT65T3060975,2026,New,https://www.autonation.com/cars/4s4sldt65t3060975/subaru-forester-2026
002,Jeep,Wrangler,1C4RJXFG4TW231311,2026,New,https://www.autonation.com/cars/1c4rjxfg4tw231311/jeep-wrangler-2026
003,Mercedes-Benz,GLE,4JGFB5KBXTB620102,2026,New,https://www.autonation.com/cars/4jgfb5kbxtb620102/mercedes-benz-gle-2026
004,BMW,X3,5UX53GP01T9369556,2026,New,https://www.autonation.com/cars/5ux53gp01t9369556/bmw-x3-2026
005,Honda,HR-V,3CZRZ1H33TM744303,2026,New,https://www.autonation.com/cars/3czrz1h33tm744303/honda-hr-v-2026
006,Mercedes-Benz,GLC,W1NKM4HB8TU108091,2026,New,https://www.autonation.com/cars/w1nkm4hb8tu108091/mercedes-benz-glc-2026
007,Hyundai,Venue,KMHRC8A38TU463695,2026,New,https://www.autonation.com/cars/kmhrc8a38tu463695/hyundai-venue-2026
008,Jeep,Grand Cherokee,1C4RJHER0T8585162,2026,New,https://www.autonation.com/cars/1c4rjher0t8585162/jeep-grand-cherokee-2026
009,MINI,Countryman,WMZ23GA01T7T86270,2026,New,https://www.autonation.com/cars/wmz23ga01t7t86270/mini-countryman-2026
010,Acura,ADX,3HDSA2H53SM710106,2025,New,https://www.autonation.com/cars/3hdsa2h53sm710106/acura-adx-2025
011,Ram,ProMaster Cargo,3C6LRVBG8TE162732,2026,New,https://www.autonation.com/cars/3c6lrvbg8te162732/ram-promaster-cargo-2026
012,Chevrolet,Express Cargo,1GCZGHF70T1206780,2026,New,https://www.autonation.com/cars/1gczghf70t1206780/chevrolet-express-cargo-2026
013,Ford,Transit Cargo,1FTBR2CG8TKA39088,2026,New,https://www.autonation.com/cars/1ftbr2cg8tka39088/ford-transit-cargo-2026
014,Ford,Transit Cargo,1FTBR1C86SKB01749,2025,New,https://www.autonation.com/cars/1ftbr1c86skb01749/ford-transit-cargo-2025
015,Chevrolet,Express,1GCWGFCF3F1264566,2015,Used,https://www.autonation.com/cars/1gcwgfcf3f1264566/chevrolet-express-2015
016,Ford,Econoline,1FMNE11L58DA34408,2008,Used,https://www.autonation.com/cars/1fmne11l58da34408/ford-econoline-2008
017,Nissan,NV Compact Cargo,3N6CM0KN6KK711396,2019,Used,https://www.autonation.com/cars/3n6cm0kn6kk711396/nissan-nv200-compact cargo-2019
018,Ford,Transit Connect,NM0GS9E78K1388477,2019,Used,https://www.autonation.com/cars/nm0gs9e78k1388477/ford-transit-connect-2019
