WARRANTY_ID,SALES_ID ,WARRANTY_TYPE,DURATION_MONTHS,MILEAGE,COST ,,,
1901,101,Bumper to Bumper,36,"36,000",720.00,,,
1902,102,Bumper to Bumper,36,"36,000",720.00,,,
1903,103,Bumper to Bumper,48,"50,000",1800.00,,,
1904,104,Bumper to Bumper,36,"36,000",720.00,,,
1905,105,NULL,NULL,NULL,NULL,,,
1906,106,Bumper to Bumper,36,"36,000",720.00,,,
1907,107,Bumper to Bumper,48,"50,000",1800.00,,,
1908,108,NULL,NULL,NULL,NULL,,,
1909,109,NULL,NULL,NULL,NULL,,,
1910,110,Bumper to Bumper,36,"36,000",720.00,,,
1911,111,NULL,NULL,NULL,NULL,,,
1912,112,Bumper to Bumper,36,"36,000",720.00,,,
1913,113,Powertrain Warranty ,60,"60,000",500.00,,,
1914,114,Extended  ,24,"60,000",750.00,,,
1915,115,Powertrain Warranty ,60,"60,000",500.00,,,
1916,116,Corrosions Warranty ,60,"60,000",300.00,,,
1917,117,NULL,NULL,NULL,NULL,,,
1918,118,Emissions Warranty,48,50000,150.00,,,
1919,119,Emissions Warranty,60,"60,000",200.00,,,
1920,120,NULL,NULL,NULL,NULL,,,
1921,121,Emissions Warranty,48,50000,150.00,,,
1922,122,Extended ,24,"40,000",750.00,,,
1923,123,Powertrain Warranty ,60,"60,000",500.00,,,
1924,124,Extended ,36,50000,1200.00,,,
1925,125,NULL,NULL,NULL,NULL,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
