WEIGHT_ID,CURB_WEIGHT,,
1201,3664,,
1202,4623,,
1203,5060,,
1204,4176,,
1205,3159,,
1206,4277,,
1207,2612,,
1208,4784,,
1209,3777,,
1210,3578,,
1211,4747,,
1212,NULL,,
1213,NULL,,
1214,5235,,
1215,NULL,,
1216,NULL,,
1217,3272,,
1218,4028,,
1219,4123,,
1220,6152,,
1221,NULL,,
1222,3631,,
1223,3308,,
1224,4420,,
1225,3790,,
1226,3425,,
1227,4090,,
1228,4142,,
1229,3155,,
1230,3527,,
1231,2955,,
1232,3611,,
1233,3102,,
1234,5331,,
1235,3298,,
1236,5083,,
1237,5704,,
1238,2317,,
1239,2956,,
1240,5620,,
1241,12000,,
1242,4330,,
1243,4482,,
1244,5050,,
1245,4046,,
1246,3759,,
1247,3648,,
1248,3468,,
1249,null,,
1250,3776,,
