WHEEL_ID,FRONT_WHEEL_SIZE,REAR_WHEEL_SIZE,WHEEL_TYPE
401,19 X 7.5,19 X 7.5,Aluminum
402,17 X 7.5,17 X 7.5,Aluminum
403,21 X 10,21 X 11,Aluminum
404,20 X 9,20 X 10.5,Aluminum
405,17 X 6.5,17 X 6.5,Aluminum
406,18 X 8,18 X 8,Aluminum
407,17 X 6.5,17 X 6.5,Aluminum
408,21 X 9,21 X 9,Aluminum
409,20 X 8,20 X 8,Aluminum
410,19 X 8,19 X 8,Aluminum
411,16 X 6,16 X 6,Aluminum
412,16 x 6.5,16 x 6.5,Steel
413,16 X 6.5,16 X 6.5,Steel
414,16 X 6.5,16 X 6.5,Aluminum
415,16 x 6.5,16 x 6.5,Steel
416,16 x 7,16 x 7,Steel
417,15 X 5.5,15 X 5.5,Steel
418,16 X 6.5,16 X 6.5,Steel
419,16 X 6.5,16 X 6.5,Steel
420,16 X 6.5,16 X 6.5,Steel
421,NULL,NULL,NULL
422,18 x 8.0,18 x 8.0,Aluminum
423,17 x 7.5,17 x 8.5,Aluminum
424,21 X 9.5,21 X 11.5,Fogged Aluminum
425,20 X 9,21 X 11.5,Forged Aluminum
426,19 X 8,19 X 8,Aluminum
427,18 X 8,18 X 8,Aluminum
428,19 x 8.5,19 x 8.5,Aluminum
429,19 X 8.5,19 X 8.5,Aluminum
430,18 X 8,18 X 8,Aluminum
431,16 X 7,16 X 7,Aluminum
432,18 X 8,18 X 8,Aluminum
433,18 X 8,18 X 8,Aluminum
434,20 X 9,,Aluminum
435,19 X 8.5,19 X 8.5,Aluminum
436,20 X 9,20 X 9,Aluminum
437,17 X 8.5,17 X 8.5,Aluminum
438,17 x 8,17 x 8,Aluminum
439,20 X 8.5,20 X 8.5,Aluminum
440,20 X 8,20 X 8,Aluminum
441,18 x 8.5,18 x 8.5,Steel
442,18 x 7.5,18 x 7.5,Aluminum
443,17 X 7.5,17 X 7.5,Aluminum
444,17 X 7.5,17 X 7.5,Aluminum
445,17 x 6.5,17 x 6.5,Aluminum
446,17 X 7,17 X 7,Aluminum
447,18 X 8.5,18 X 8.5,Aluminum
448,17 X 6.5,17 X 6.5,Aluminum
449,19x,19x,Aluminum
450,17 x ,17x ,Aluminum
